Other Expats,Online,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/other-expats.webp,Editing and copywriting,https://www.otherexpats.com/journal/,Other Expats - Journal,"A lifestyle/guide post for Other Expats, a community platform for Black and African professionals."
Sheffield Hallam University,Online,Web editor,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/manifest-diversity.webp,Web editing,https://blogs.shu.ac.uk/mdaamgsteeringgroup/,Sheffield Hallam University - Manifest Diversity,A steering group created by Sheffield Hallam University to identify and address challenges encountered by historically minoritised groups.
Jaguar Land Rover Malaysia,Print publication,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/ibr-asia-jaguar-ad.webp,Editing and copywriting,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/ibr-asia-jaguar-ad.webp,Jaguar Land Rover Malaysia - What's in a name?,A feature ad for Jaguar Land Rover Malaysia in International Business Review (IBR).
unifi Business Club/Swingvy,Online ,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/digital-hr.webp,Editing and copywriting,https://ubc.unifi.com.my/articles/swingvy-shifting-malaysian-smes-digital-side,unifi Business Club/Swingvy - Shifting Malaysian SMEs to the digital side,"An interview with the HR services provider, Swigvy CEO and feature article for Telecoms Malaysia’s unifi Business Club."
KPJ Healthcare,Print publication,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/KPJ-Healthcare.webp,Editing and copywriting,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/KPJ-Healthcare.webp,KPJ Healthcare - Pertussis prevention,"Article for Care for Life magazine, a publication by the healthcare services provider, KPJ Healthcare. "
Nettium,Online,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/coding-mum.webp,Editing and copywriting,https://lifeatnettium.wordpress.com/2018/10/29/cool-mums-meet-code-coding-mum-kuala-lumpur-2018/,Coding Mum - Nettium blog,"An article about the Coding Mum programme to teach Indonesian mothers and domestic workers how to write code, build computer applications and improve their lives."
SelfDrvn,Online,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/team-feedback.webp,Editing and copywriting,https://selfdrvn.com/engage-team-effective-written-feedback/,Team Feedback - SelfDrvn blog,"An article for the SaaS startup, SelfDrvn, about motivating employees using feedback."
Construction Industry Development Board (CIDB),Print publication ,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/cidb-datuk-mahmun.webp,Editing and copywriting,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/cidb-datuk-mahmun.webp,CIDB - Productivity enhancement for the construction sector ,"Interview with Datuk Buhtamam Mahmunand and feature article for the Prime Movers section of Heights magazine, a publication by the Malaysian Construction Industry Development Board (CIDB)."
British Psychological Society,Online,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/career-advice.webp,Editing and copywriting,https://www.jobsinpsychology.co.uk/careers/,BPS - Jobs in Psychology,Articles for the British Psychological Society’s Jobs in Psychology careers site.
Personal project,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/wedding.webp,Web development,https://chukwudibarrah.github.io/wedding/,Wedding RSVP,"A lightweight React app to help track attendees to a wedding. App shoud be elegant, responsive and meet accessibility requirements."
Personal project,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/africa-dyk.webp,Web development,https://chukwudibarrah.github.io/africadyk/,Africa - Did you know?,"Embark on a fascinating journey through Africa with this fun and informative quiz game! Test your knowledge about the continent's diverse cultures, history, and geography."
Personal project,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/ip-address-tracker.webp,Web development,https://chukwudibarrah.github.io/ip-address-tracker/,IP address tracker,"Unravel the mysteries of the internet with this handy tool! Discover the location, timezone, and internet service provider associated with any IP address."
Team project,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/tuhd.webp,Web development,https://claudiof9.github.io/The-Unstoppable-Hero-Database/,The Unstoppable Hero Database,Celebrate the power of superheroes! Explore this database to find your favorite heroes and discover their thrilling cinematic adventures.
blackside UK,Online,Editor/copywriter,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/blackside-UK.webp,Editing and copywriting,https://blackside.uk/journal/,blackside UK - Journal,blackside UK is a vibrant community and directory celebrating the diverse experiences and businesses of Black people in the UK.
blackside UK,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/blackside-UK.webp,Podcasting,https://blackside.uk/conversations/,blackside Podcast,blackside UK is a vibrant community and directory celebrating the diverse experiences and businesses of Black people in the UK.
Other Expats,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/other-expats.webp,Web development,https://www.otherexpats.com/,Other Expats,"A lifestyle/guide post for Other Expats, a community platform for Black and African professionals."
Other Expats,Online,Podcast host,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/other-expats.webp,Podcasting,https://www.otherexpats.com/podcasts/,Other Expats Podcast,Discussions with African and Black professionals and expats in Malaysia about their lives and experiences in the country.
blackside UK,Online,Web developer,https://raw.githubusercontent.com/chukwudibarrah/portfolio/main/public/uploads/blackside-UK.webp,Web development,https://blackside.uk/,blackside UK,blackside UK is a vibrant community and directory celebrating the diverse experiences and businesses of Black people in the UK.
